tradedate,close,volume,open,high,low
2020-06-30,203.51,34310280,197.88,204.40,197.74
2020-07-01,204.70,32061210,203.14,206.35,201.77
2020-07-02,206.26,29315760,205.68,208.02,205.00
2020-07-06,210.70,31897630,208.83,211.13,208.09
2020-07-07,208.25,33600730,210.45,214.67,207.99
2020-07-08,212.83,33600030,210.07,213.26,208.69
2020-07-09,214.32,33121680,216.33,216.38,211.47
2020-07-10,213.67,26177630,213.62,214.08,211.08
2020-07-13,207.07,38135610,214.48,215.80,206.50
2020-07-14,208.35,37591820,206.13,208.85,202.03
2020-07-15,208.04,32179410,209.56,211.33,205.03
2020-07-16,203.92,29940650,205.40,205.70,202.31
2020-07-17,202.88,31635280,204.47,205.04,201.39
2020-07-20,211.60,36884840,205.00,212.30,203.01
2020-07-21,208.75,38105780,213.66,213.94,208.03
2020-07-22,211.75,49605690,209.20,212.30,208.39
2020-07-23,202.54,67457040,207.19,210.92,202.15
2020-07-24,201.30,39826990,200.42,202.86,197.51
2020-07-27,203.85,30160870,201.47,203.97,200.86
2020-07-28,202.02,23251390,203.61,204.70,201.74
2020-07-29,204.06,19632600,202.50,204.65,202.01
2020-07-30,203.90,25079600,201.00,204.46,199.57
2020-07-31,205.01,51247970,204.40,205.10,199.01
2020-08-03,216.54,78983010,211.52,217.64,210.44
2020-08-04,213.29,49280060,214.17,214.77,210.31
2020-08-05,212.94,28858620,214.90,215.00,211.57
2020-08-06,216.35,32656840,212.34,216.37,211.55
2020-08-07,212.48,27820420,214.85,215.70,210.93
2020-08-10,208.25,36716460,211.67,211.88,206.35
2020-08-11,203.38,36446460,207.16,207.65,203.14
2020-08-12,209.19,28041360,205.29,210.28,204.75
2020-08-13,208.70,22588870,209.44,211.35,208.15
2020-08-14,208.90,17958940,208.76,209.59,207.51
2020-08-17,210.28,20184760,209.60,211.19,208.92
2020-08-18,211.49,21336170,210.53,212.36,209.21
2020-08-19,209.70,27627560,211.49,212.10,209.25
2020-08-20,214.58,26981480,209.54,215.00,208.91
2020-08-21,213.02,36249320,213.86,216.25,212.85
2020-08-24,213.69,25460150,214.79,215.52,212.43
2020-08-25,216.47,23043700,213.10,216.61,213.10
2020-08-26,221.15,39600830,217.88,222.09,217.36
2020-08-27,226.58,57602200,222.89,231.15,219.40
2020-08-28,228.91,26292900,228.18,230.64,226.58
2020-08-31,225.53,28774160,227.00,228.70,224.31
2020-09-01,227.27,25791240,225.51,227.45,224.43
2020-09-02,231.65,34080840,227.97,232.86,227.35
2020-09-03,217.30,58400290,229.27,229.31,214.96
2020-09-04,214.25,59664070,215.10,218.36,205.19
2020-09-08,202.66,52924330,206.50,210.03,202.20
2020-09-09,211.29,45678990,207.60,214.84,206.70
2020-09-10,205.37,35461510,213.40,214.74,204.11
2020-09-11,204.03,33620070,207.20,208.63,201.24
2020-09-14,205.41,30375770,204.24,209.20,204.03
2020-09-15,208.78,21823940,208.42,209.78,206.93
